sum(views)	module	pd
244871	TrackingMonitor	StreamExpress
235478	SiPixelPhase1TrackClusters	StreamExpress
225055	SiPixelPhase1Clusters	StreamExpress
190952	SiStripMonitorTrack	StreamExpress
144464	SiPixelPhase1Digis	StreamExpress
136340	MonitorTrackResiduals	StreamExpress
54866	SiStripMonitorCluster	StreamExpress
53088	JetAnalyzer	StreamExpress
36377	SiStripFEDMonitorPlugin	StreamExpress
34308	CSCOfflineMonitor	StreamExpress
33314	SiPixelPhase1Harvester	StreamExpress
25253	SiPixelPhase1TrackEfficiency	StreamExpress
24079	DQMGenericClient	StreamExpress
21758	PrimaryVertexMonitor	StreamExpress
17540	SiPixelPhase1Summary	StreamExpress
16652	SiPixelPhase1DeadFEDChannels	StreamExpress
14933	SiStripOfflineDQM	StreamExpress
14082	METAnalyzer	StreamExpress
12743	DQMDcsInfoClient	StreamExpress
10171	SiPixelPhase1TrackResiduals	StreamExpress
9622	SiPixelPhase1RecHits	StreamExpress
8393	RPCMonitorDigi	StreamExpress
7924	SiPixelPhase1RawData	StreamExpress
7920	ElectronAnalyzer	StreamExpress
7818	PhotonAnalyzer	StreamExpress
7148	DQMFileSaver	StreamExpress
6556	SiStripMonitorDigi	StreamExpress
5974	RPCDqmClient	StreamExpress
4036	EcalDQMonitorTask	StreamExpress
3886	MuonRecoAnalyzer	StreamExpress
3435	DQMDcsInfo	StreamExpress
3257	TrackingOfflineDQM	StreamExpress
3183	RPCChamberQuality	StreamExpress
3073	AlcaBeamMonitorClient	StreamExpress
2604	MuonKinVsEtaAnalyzer	StreamExpress
2454	SiStripGainsPCLHarvester	StreamExpress
2369	V0Monitor	StreamExpress
1557	EcalDQMonitorClient	StreamExpress
1291	BTagPerformanceAnalyzerOnData	StreamExpress
1248	CSCMonitorModule	StreamExpress
1183	DQMPFCandidateAnalyzer	StreamExpress
753499	JetAnalyzer	JetHT
336559	METAnalyzer	JetHT
185440	TrackingMonitor	JetHT
66202	DQMGenericClient	JetHT
61777	SiPixelPhase1TrackClusters	JetHT
29772	DQMPFCandidateAnalyzer	JetHT
17768	SiPixelPhase1TrackEfficiency	JetHT
17179	SiPixelPhase1TrackResiduals	JetHT
14382	PrimaryVertexMonitor	JetHT
13418	SiPixelPhase1RecHits	JetHT
6171	PrimaryVertexResolution	JetHT
5352	ElectronAnalyzer	JetHT
2851	SiPixelPhase1Clusters	JetHT
2252	HcalRecHitsAnalyzer	JetHT
2243	SiPixelPhase1Digis	JetHT
2018	MuonRecoAnalyzer	JetHT
1931	SiPixelPhase1Harvester	JetHT
1922	SiStripMonitorTrack	JetHT
1890	EcalDQMonitorTask	JetHT
1777	PhotonAnalyzer	JetHT
